filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
dataset/pluto_contracts_unmark/0x0d7beaa8eb619b6195daa584161be1d52109dadb.sol,0x0d7beaa8eb619b6195daa584161be1d52109dadb.sol,mythril-0.24.7,solidity,2024/03/24,20240528_1112,1717327559.9381182,611.2637846469879,,{},{},{},{DOCKER_TIMEOUT}
dataset/pluto_contracts_unmark/0x0d84f78dcd94b82ebcb9e1596b5ce50f06f7365b.sol,0x0d84f78dcd94b82ebcb9e1596b5ce50f06f7365b.sol,mythril-0.24.7,solidity,2024/03/24,20240528_1112,1717339150.3944378,518.7848927974701,1,{Integer_Arithmetic_Bugs_SWC_101},{},{},{}
dataset/pluto_contracts_unmark/0x0d851a1a608f9f6c48f4fac4b4b8d53ac82176fa.sol,0x0d851a1a608f9f6c48f4fac4b4b8d53ac82176fa.sol,mythril-0.24.7,solidity,2024/03/24,20240528_1112,1717253352.3275907,611.3073446750641,,{Exception_State_SWC_110},{},{},{DOCKER_TIMEOUT}
dataset/pluto_contracts_unmark/0x0d874d0fc522bbbc9edf2b66dbaa9b0ad7b0dfdc.sol,0x0d874d0fc522bbbc9edf2b66dbaa9b0ad7b0dfdc.sol,mythril-0.24.7,solidity,2024/03/24,20240528_1112,1717093284.9447334,611.2358274459839,,{},{},{},{DOCKER_TIMEOUT}
dataset/pluto_contracts_unmark/0x0d896c1466cc819606f07a79a3113d779cffae1a.sol,0x0d896c1466cc819606f07a79a3113d779cffae1a.sol,mythril-0.24.7,solidity,2024/03/24,20240528_1112,1717262808.3007762,511.01951122283936,1,"{Exception_State_SWC_110,External_Call_To_User_Supplied_Address_SWC_107,Multiple_Calls_in_a_Single_Transaction_SWC_113,State_access_after_external_call_SWC_107}",{},{},{}
dataset/pluto_contracts_unmark/0x0d8d860c117ed7d41a73bd3abb10a8b250c38b1a.sol,0x0d8d860c117ed7d41a73bd3abb10a8b250c38b1a.sol,mythril-0.24.7,solidity,2024/03/24,20240528_1112,1717140340.826841,493.19990730285645,1,{External_Call_To_User_Supplied_Address_SWC_107},{},{},{}
dataset/pluto_contracts_unmark/0x0d8d9ffbed227c08b1a17ac4dd9eba38c153375c.sol,0x0d8d9ffbed227c08b1a17ac4dd9eba38c153375c.sol,mythril-0.24.7,solidity,2024/03/24,20240528_1112,1716913259.7679174,611.5180714130402,,{},{},{},{DOCKER_TIMEOUT}
dataset/pluto_contracts_unmark/0x0da2c2f5bb8cef300e894f47532af79811f0e18a.sol,0x0da2c2f5bb8cef300e894f47532af79811f0e18a.sol,mythril-0.24.7,solidity,2024/03/24,20240528_1112,1716990146.9175026,517.730388879776,0,{},{},{},{}
dataset/pluto_contracts_unmark/0x0da9326d7da81f8b19a8ec2d3255ab7076768c2d.sol,0x0da9326d7da81f8b19a8ec2d3255ab7076768c2d.sol,mythril-0.24.7,solidity,2024/03/24,20240528_1112,1716927038.215899,508.1423041820526,1,{Integer_Arithmetic_Bugs_SWC_101},{},{},{}
dataset/pluto_contracts_unmark/0x0dabb5a8dcca6aa2929b21d7bc259f5663250eed.sol,0x0dabb5a8dcca6aa2929b21d7bc259f5663250eed.sol,mythril-0.24.7,solidity,2024/03/24,20240528_1112,1716952371.5398297,603.0191316604614,,{},{},{},{DOCKER_TIMEOUT}
